what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.300.v200902052230,"org.eclipse.jst.j2ee.webservice.ui",1408236534486
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.300.v200901220600,"org.eclipse.jst.j2ee.webservice",1408236534486
stopped,bundle,org.eclipse.wst.ws.parser,1.0.402.v200901220107,"org.eclipse.wst.ws.parser",1408236534491
stopped,bundle,org.eclipse.birt.report.debug.ui,2.5.2.v20100127,"org.eclipse.birt.report.debug.ui",1408236534496
stopped,bundle,org.eclipse.birt.report.designer.ui.preview.web,2.5.2.v20100127,"org.eclipse.birt.report.designer.ui.preview.web",1408236534499
stopped,bundle,org.eclipse.birt.report.viewer,2.5.2.v20091210,"org.eclipse.birt.report.viewer",1408236534506
stopped,bundle,commonj.sdo,2.1.1.v200905221342,"commonj.sdo",1408236534511
stopped,bundle,org.eclipse.datatools.enablement.oda.ws.ui,1.2.2.v201001260400,"org.eclipse.datatools.enablement.oda.ws.ui",1408236534516
stopped,bundle,org.eclipse.datatools.enablement.oda.ws,1.2.2.v201001131420,"org.eclipse.datatools.enablement.oda.ws",1408236534519
stopped,bundle,org.eclipse.wst.wsdl,1.2.2.v200911111930,"org.eclipse.wst.wsdl",1408236534524
stopped,bundle,org.eclipse.wst.wsdl.validation,1.1.402.v200911251542,"org.eclipse.wst.wsdl.validation",1408236534524
stopped,bundle,org.eclipse.birt.chart.examples,2.5.2.v20091112,"org.eclipse.birt.chart.examples",1408236534526
stopped,bundle,org.eclipse.birt.chart.device.pdf,2.5.2.v20091022,"org.eclipse.birt.chart.device.pdf",1408236534529
stopped,bundle,org.eclipse.birt.chart.reportitem.ui,2.5.2.v20100210,"org.eclipse.birt.chart.reportitem.ui",1408236534534
stopped,bundle,org.eclipse.birt.report.item.crosstab.ui,2.5.2.v20100127,"org.eclipse.birt.report.item.crosstab.ui",1408236534536
stopped,bundle,org.eclipse.birt.report.designer.ui.cubebuilder,2.5.2.v20100127,"org.eclipse.birt.report.designer.ui.cubebuilder",1408236534541
stopped,bundle,org.eclipse.birt.report.designer.ui.data,2.5.2.v20100209,"org.eclipse.birt.report.designer.ui.data",1408236534544
stopped,bundle,org.eclipse.birt.report.designer.ui.editor.script,2.5.2.v20100127,"org.eclipse.birt.report.designer.ui.editor.script",1408236534546
stopped,bundle,org.eclipse.birt.report.designer.ui.editor.xml.wtp,2.5.2.v20100127,"org.eclipse.birt.report.designer.ui.editor.xml.wtp",1408236534546
stopped,bundle,org.eclipse.birt.report.designer.ui.ide,2.5.2.v20100127,"org.eclipse.birt.report.designer.ui.ide",1408236534549
stopped,bundle,org.eclipse.birt.report.designer.ui.lib.explorer,2.5.2.v20100127,"org.eclipse.birt.report.designer.ui.lib.explorer",1408236534554
stopped,bundle,org.eclipse.birt.report.designer.ui.lib,2.5.2.v20100127,"org.eclipse.birt.report.designer.ui.lib",1408236534556
stopped,bundle,org.eclipse.birt.report.designer.ui.editors.schematic,2.5.2.v20100127,"org.eclipse.birt.report.designer.ui.editors.schematic",1408236534561
stopped,bundle,org.eclipse.birt.report.designer.ui.samples.ide,2.5.2.v20100127,"org.eclipse.birt.report.designer.ui.samples.ide",1408236534564
stopped,bundle,org.eclipse.birt.report.designer.ui.editors,2.5.2.v20100127,"org.eclipse.birt.report.designer.ui.editors",1408236534569
stopped,bundle,org.eclipse.birt.report.designer.ui.samplesview,2.5.2.v20100127,"org.eclipse.birt.report.designer.ui.samplesview",1408236534571
stopped,bundle,org.eclipse.birt.report.designer.ui.views,2.5.2.v20100127,"org.eclipse.birt.report.designer.ui.views",1408236534579
stopped,bundle,org.eclipse.birt.report.designer.ui,2.5.2.v20100208,"org.eclipse.birt.report.designer.ui",1408236534594
stopped,bundle,org.eclipse.birt.report.designer.core,2.5.2.v20100205,"org.eclipse.birt.report.designer.core",1408236534599
stopped,bundle,org.eclipse.birt.report.engine.emitter.prototype.excel,2.5.2.v20100201,"org.eclipse.birt.report.engine.emitter.prototype.excel",1408236534604
stopped,bundle,org.eclipse.birt.chart.reportitem,2.5.2.v20100209,"org.eclipse.birt.chart.reportitem",1408236534606
stopped,bundle,org.eclipse.birt.report.engine.dataextraction.csv,2.5.2.v20100115,"org.eclipse.birt.report.engine.dataextraction.csv",1408236534611
stopped,bundle,org.eclipse.birt.report.engine.dataextraction,2.5.2.v20100115,"org.eclipse.birt.report.engine.dataextraction",1408236534614
stopped,bundle,org.eclipse.birt.report.engine.emitter.excel.config,2.5.2.v20100208,"org.eclipse.birt.report.engine.emitter.excel.config",1408236534616
stopped,bundle,org.eclipse.birt.report.engine.emitter.html.config,2.5.2.v20100208,"org.eclipse.birt.report.engine.emitter.html.config",1408236534619
stopped,bundle,org.eclipse.birt.report.engine.emitter.pdf.config,2.5.2.v20100208,"org.eclipse.birt.report.engine.emitter.pdf.config",1408236534621
stopped,bundle,org.eclipse.birt.report.engine.emitter.postscript.config,2.5.2.v20100208,"org.eclipse.birt.report.engine.emitter.postscript.config",1408236534626
stopped,bundle,org.eclipse.birt.report.engine.emitter.ppt.config,2.5.2.v20100208,"org.eclipse.birt.report.engine.emitter.ppt.config",1408236534629
stopped,bundle,org.eclipse.birt.report.engine.emitter.wpml.config,2.5.2.v20100208,"org.eclipse.birt.report.engine.emitter.wpml.config",1408236534631
stopped,bundle,org.eclipse.birt.report.engine.emitter.config,2.5.2.v20100208,"org.eclipse.birt.report.engine.emitter.config",1408236534634
